Episode:86 score:-109.40 avgscore:-149.77 highscore:9.31 time:0.74
Episode:87 score:-118.21 avgscore:-150.60 highscore:9.31 time:0.68
Episode:88 score:-96.12 avgscore:-148.91 highscore:9.31 time:1.06
Episode:89 score:-302.07 avgscore:-153.15 highscore:9.31 time:0.84
Episode:90 score:-144.97 avgscore:-153.29 highscore:9.31 time:0.68
Episode:91 score:-82.63 avgscore:-152.36 highscore:9.31 time:0.66
Episode:92 score:-180.93 avgscore:-153.79 highscore:9.31 time:0.91
Episode:93 score:-72.11 avgscore:-149.73 highscore:9.31 time:1.29
Episode:94 score:-48.47 avgscore:-150.88 highscore:9.31 time:0.70
Episode:95 score:-225.87 avgscore:-152.74 highscore:9.31 time:1.03
Episode:96 score:-138.94 avgscore:-152.08 highscore:9.31 time:0.65
Episode:97 score:-69.24 avgscore:-151.73 highscore:9.31 time:0.60
Episode:98 score:-166.90 avgscore:-153.58 highscore:9.31 time:0.83
Episode:99 score:-73.68 avgscore:-153.74 highscore:9.31 time:1.01
Episode:100 score:-119.01 avgscore:-154.27 highscore:9.31 time:0.82

Evaluation at episode 100
Evaluation Episode:1 score:-192.24656840714795
Evaluation Episode:2 score:-144.14789599488523
Evaluation Episode:3 score:-164.54387131391394
Evaluation Episode:4 score:-59.723089003765615
Evaluation Episode:5 score:-71.31305461844815
Evaluation Episode:6 score:-162.09744225765058
Evaluation Episode:7 score:-226.18596600794808
Evaluation Episode:8 score:-187.16448017643438
Evaluation Episode:9 score:-85.7364348979959
Evaluation Episode:10 score:-50.23500035212925
Evaluation at episode 100 average evaluation score:-134.33938030303187

Episode:101 score:-179.96 avgscore:-156.37 highscore:9.31 time:5.63
Episode:102 score:-186.23 avgscore:-154.56 highscore:9.31 time:0.81
Episode:103 score:-77.70 avgscore:-150.63 highscore:9.31 time:0.53
Episode:104 score:-126.68 avgscore:-149.81 highscore:9.31 time:0.78
Episode:105 score:-86.24 avgscore:-146.34 highscore:9.31 time:0.63
Episode:106 score:-410.85 avgscore:-149.72 highscore:9.31 time:0.95
Episode:107 score:-66.67 avgscore:-145.71 highscore:9.31 time:1.01
Episode:108 score:-103.06 avgscore:-138.21 highscore:9.31 time:1.04
Episode:109 score:-279.57 avgscore:-142.88 highscore:9.31 time:0.89
Episode:110 score:-35.22 avgscore:-141.82 highscore:9.31 time:0.64
Episode:111 score:-285.06 avgscore:-144.13 highscore:9.31 time:1.00
Episode:112 score:-197.72 avgscore:-146.77 highscore:9.31 time:0.96
Episode:113 score:-273.56 avgscore:-149.84 highscore:9.31 time:1.18
Episode:114 score:-52.84 avgscore:-148.66 highscore:9.31 time:0.63
Episode:115 score:-91.06 avgscore:-146.61 highscore:9.31 time:0.67
Episode:116 score:-139.12 avgscore:-147.29 highscore:9.31 time:0.72
Episode:117 score:-124.95 avgscore:-147.43 highscore:9.31 time:0.85
Episode:118 score:-84.33 avgscore:-147.33 highscore:9.31 time:1.09
Episode:119 score:-189.34 avgscore:-148.88 highscore:9.31 time:1.20
Episode:120 score:-208.45 avgscore:-151.52 highscore:9.31 time:0.76
Episode:121 score:-123.24 avgscore:-153.18 highscore:9.31 time:0.86
Episode:122 score:-93.29 avgscore:-153.32 highscore:9.31 time:0.64
Episode:123 score:-221.30 avgscore:-150.63 highscore:9.31 time:0.98
Episode:124 score:-104.83 avgscore:-149.93 highscore:9.31 time:0.60
Episode:125 score:-107.63 avgscore:-150.34 highscore:9.31 time:0.57
Episode:126 score:-110.80 avgscore:-150.95 highscore:9.31 time:0.80
Episode:127 score:-210.19 avgscore:-152.92 highscore:9.31 time:0.87
Episode:128 score:-105.89 avgscore:-153.58 highscore:9.31 time:0.95
Episode:129 score:-83.55 avgscore:-152.11 highscore:9.31 time:0.81
Episode:130 score:-109.22 avgscore:-147.03 highscore:9.31 time:0.86
Episode:131 score:-131.06 avgscore:-145.21 highscore:9.31 time:1.31
Episode:132 score:-252.17 avgscore:-145.14 highscore:9.31 time:0.76
Episode:133 score:-333.93 avgscore:-148.88 highscore:9.31 time:1.12
Episode:134 score:-100.98 avgscore:-149.24 highscore:9.31 time:0.76
Episode:135 score:-73.02 avgscore:-146.16 highscore:9.31 time:0.83
Episode:136 score:-138.26 avgscore:-146.74 highscore:9.31 time:0.97
Episode:137 score:-260.87 avgscore:-149.60 highscore:9.31 time:0.98
Episode:138 score:-195.70 avgscore:-151.59 highscore:9.31 time:0.94
