Evaluation Episode:4 score:-234.94832750027572
Evaluation Episode:5 score:-89.81505931357007
Evaluation Episode:6 score:-300.84061295639447
Evaluation Episode:7 score:-168.22947522712502
Evaluation Episode:8 score:-183.06608218536385
Evaluation Episode:9 score:-78.68015961561568
Evaluation Episode:10 score:-131.34573160099876
Evaluation at episode:100 average evaluation score:-150.94604048044113

Episode:101 score:48.67 avgscore:-218.53 highscore:48.67
Episode:102 score:-96.35 avgscore:-219.60 highscore:48.67
Episode:103 score:-232.92 avgscore:-216.98 highscore:48.67
Episode:104 score:-179.44 avgscore:-220.84 highscore:48.67
Episode:105 score:-346.62 avgscore:-220.29 highscore:48.67
Episode:106 score:-295.54 avgscore:-224.27 highscore:48.67
Episode:107 score:-273.20 avgscore:-228.26 highscore:48.67
Episode:108 score:-282.32 avgscore:-225.97 highscore:48.67
Episode:109 score:-273.33 avgscore:-225.94 highscore:48.67
Episode:110 score:-75.71 avgscore:-220.69 highscore:48.67
Episode:111 score:-250.40 avgscore:-224.26 highscore:48.67
Episode:112 score:-469.97 avgscore:-226.94 highscore:48.67
Episode:113 score:-220.33 avgscore:-229.93 highscore:48.67
Episode:114 score:-79.45 avgscore:-226.92 highscore:48.67
Episode:115 score:-209.23 avgscore:-229.19 highscore:48.67
Episode:116 score:-105.13 avgscore:-226.06 highscore:48.67
Episode:117 score:-145.24 avgscore:-220.62 highscore:48.67
Episode:118 score:-150.52 avgscore:-217.28 highscore:48.67
Episode:119 score:-72.38 avgscore:-216.25 highscore:48.67
Episode:120 score:-148.98 avgscore:-213.54 highscore:48.67
Episode:121 score:-308.75 avgscore:-214.87 highscore:48.67
Episode:122 score:-223.08 avgscore:-216.90 highscore:48.67
Episode:123 score:-99.32 avgscore:-217.14 highscore:48.67
Episode:124 score:-389.25 avgscore:-214.80 highscore:48.67
Episode:125 score:-80.45 avgscore:-210.39 highscore:48.67
Episode:126 score:-80.25 avgscore:-199.78 highscore:48.67
Episode:127 score:-211.47 avgscore:-202.24 highscore:48.67
Episode:128 score:-70.42 avgscore:-198.84 highscore:48.67
